participant_age_group,participant_gender,participant_status,participant_type,partecipant_id
Adult 18+,Male,Arrested,Suspect,0
Teen 12-17,Male,Unharmed,Suspect,1
Adult 18+,Female,Arrested,Suspect,2
Adult 18+,Male,Unharmed,Suspect,3
Teen 12-17,Male,Arrested,Suspect,4
Adult 18+,Female,Unharmed,Suspect,5
Adult 18+,Male,Killed,Suspect,6
Adult 18+,Male,Injured,Suspect,7
Adult 18+,Female,Injured,Suspect,8
Teen 12-17,Female,Arrested,Suspect,9
Child 0-11,Male,Arrested,Suspect,10
Child 0-11,Male,Injured,Suspect,11
Adult 18+,Female,Killed,Suspect,12
Teen 12-17,Male,Injured,Suspect,13
Teen 12-17,Male,Killed,Suspect,14
Child 0-11,Male,Unharmed,Suspect,15
Child 0-11,Female,Unharmed,Suspect,16
Teen 12-17,Female,Unharmed,Suspect,17
Teen 12-17,Female,Killed,Suspect,18
Teen 12-17,Female,Injured,Suspect,19
Adult 18+,Male,Killed,Victim,20
Adult 18+,Male,Injured,Victim,21
Adult 18+,Female,Injured,Victim,22
Adult 18+,Female,Killed,Victim,23
Adult 18+,Male,Unharmed,Victim,24
Child 0-11,Male,Injured,Victim,25
Child 0-11,Female,Injured,Victim,26
Teen 12-17,Female,Injured,Victim,27
Teen 12-17,Female,Killed,Victim,28
Teen 12-17,Male,Injured,Victim,29
Child 0-11,Male,Killed,Victim,30
Teen 12-17,Male,Killed,Victim,31
Adult 18+,Male,Arrested,Victim,32
Teen 12-17,Male,Unharmed,Victim,33
Adult 18+,Female,Unharmed,Victim,34
Teen 12-17,Female,Unharmed,Victim,35
Child 0-11,Female,Unharmed,Victim,36
Child 0-11,Male,Unharmed,Victim,37
Child 0-11,Female,Killed,Victim,38
Adult 18+,Female,Arrested,Victim,39
Teen 12-17,Male,Arrested,Victim,40
Child 0-11,Male,Arrested,Victim,41
Child 0-11,Female,Arrested,Victim,42
Teen 12-17,Female,Arrested,Victim,43
Child 0-11,Female,Killed,Suspect,44
Child 0-11,Male,Killed,Suspect,45
Child 0-11,Female,Arrested,Suspect,46
Child 0-11,Female,Injured,Suspect,47
